ID,DATASET,POSITION,MEAN,VARIANCE
DATA_0000_POS_0168,0,168,0.1802,
DATA_0000_POS_0169,0,169,-0.0344,
DATA_0000_POS_0170,0,170,0.1678,
DATA_0000_POS_0171,0,171,0.111,
DATA_0000_POS_0172,0,172,0.2933,
DATA_0000_POS_0173,0,173,0.4405,
DATA_0000_POS_0174,0,174,0.4895,
DATA_0000_POS_0175,0,175,0.2781,
DATA_0000_POS_0176,0,176,0.5892,
DATA_0000_POS_0177,0,177,-0.202,
DATA_0000_POS_0178,0,178,-0.0005,
DATA_0000_POS_0179,0,179,0.1231,
DATA_0000_POS_0180,0,180,-0.0924,
DATA_0000_POS_0181,0,181,0.0106,
DATA_0000_POS_0182,0,182,0.2102,
DATA_0000_POS_0183,0,183,0.2062,
DATA_0000_POS_0184,0,184,-0.0388,
DATA_0000_POS_0185,0,185,0.0912,
DATA_0000_POS_0186,0,186,-0.0079,
DATA_0000_POS_0187,0,187,0.0518,
DATA_0000_POS_0188,0,188,0.1184,
DATA_0000_POS_0189,0,189,0.0961,
DATA_0000_POS_0190,0,190,0.1187,
DATA_0000_POS_0191,0,191,0.1416,
DATA_0001_POS_0000,1,0,0.2632,
DATA_0001_POS_0001,1,1,0.2851,
DATA_0001_POS_0002,1,2,0.296,
DATA_0001_POS_0003,1,3,0.1596,
DATA_0001_POS_0004,1,4,0.2313,
DATA_0001_POS_0005,1,5,-0.0515,
DATA_0001_POS_0006,1,6,0.343,
DATA_0001_POS_0007,1,7,0.0725,
DATA_0001_POS_0008,1,8,0.1409,
DATA_0001_POS_0009,1,9,-0.1074,
DATA_0001_POS_0010,1,10,-0.037,
DATA_0001_POS_0011,1,11,-0.145,
DATA_0001_POS_0012,1,12,0.3856,
DATA_0001_POS_0013,1,13,0.3429,
DATA_0001_POS_0014,1,14,-0.4605,
DATA_0001_POS_0015,1,15,-0.2089,
DATA_0001_POS_0016,1,16,0.1612,
DATA_0001_POS_0017,1,17,0.038,
DATA_0001_POS_0018,1,18,0.2424,
DATA_0001_POS_0019,1,19,0.0945,
DATA_0001_POS_0020,1,20,0.265,
DATA_0001_POS_0021,1,21,0.2768,
DATA_0001_POS_0022,1,22,0.2822,
DATA_0001_POS_0023,1,23,0.1501,
DATA_0001_POS_0024,1,24,0.0971,
DATA_0001_POS_0025,1,25,0.2377,
DATA_0001_POS_0026,1,26,-0.0136,
DATA_0001_POS_0027,1,27,-0.2754,
DATA_0001_POS_0028,1,28,0.2046,
DATA_0001_POS_0029,1,29,0.5184,
DATA_0001_POS_0030,1,30,0.0941,
DATA_0001_POS_0031,1,31,0.2974,
DATA_0001_POS_0032,1,32,0.1916,
DATA_0001_POS_0033,1,33,0.503,
DATA_0001_POS_0034,1,34,0.3222,
DATA_0001_POS_0035,1,35,0.5639,
DATA_0001_POS_0036,1,36,0.595,
DATA_0001_POS_0037,1,37,0.1549,
DATA_0001_POS_0038,1,38,0.1311,
DATA_0001_POS_0039,1,39,-0.256,
DATA_0001_POS_0040,1,40,0.6546,
DATA_0001_POS_0041,1,41,0.3878,
DATA_0001_POS_0042,1,42,0.3591,
DATA_0001_POS_0043,1,43,-0.2254,
DATA_0001_POS_0044,1,44,-0.0952,
DATA_0001_POS_0045,1,45,-0.5173,
DATA_0001_POS_0046,1,46,-0.1462,
DATA_0001_POS_0047,1,47,-0.4387,
DATA_0001_POS_0048,1,48,0.1571,
DATA_0001_POS_0049,1,49,0.1893,
DATA_0001_POS_0050,1,50,0.2599,
DATA_0001_POS_0051,1,51,0.2396,
DATA_0001_POS_0052,1,52,0.2291,
DATA_0001_POS_0053,1,53,0.0665,
DATA_0001_POS_0054,1,54,0.3771,
DATA_0001_POS_0055,1,55,0.0357,
DATA_0001_POS_0056,1,56,0.2981,
DATA_0001_POS_0057,1,57,0.187,
DATA_0001_POS_0058,1,58,0.1603,
DATA_0001_POS_0059,1,59,-0.4513,
DATA_0001_POS_0060,1,60,0.084,
DATA_0001_POS_0061,1,61,-0.1062,
DATA_0001_POS_0062,1,62,-0.8213,
DATA_0001_POS_0063,1,63,-1.4027,
DATA_0001_POS_0064,1,64,0.2125,
DATA_0001_POS_0065,1,65,0.2772,
DATA_0001_POS_0066,1,66,0.2378,
DATA_0001_POS_0067,1,67,0.293,
DATA_0001_POS_0068,1,68,0.3133,
DATA_0001_POS_0069,1,69,0.2442,
DATA_0001_POS_0070,1,70,0.2335,
DATA_0001_POS_0071,1,71,0.2458,
DATA_0001_POS_0072,1,72,0.0988,
DATA_0001_POS_0073,1,73,0.1716,
DATA_0001_POS_0074,1,74,0.1712,
DATA_0001_POS_0075,1,75,0.1423,
DATA_0001_POS_0076,1,76,0.1312,
DATA_0001_POS_0077,1,77,0.1316,
DATA_0001_POS_0078,1,78,0.0767,
DATA_0001_POS_0079,1,79,0.1678,
DATA_0001_POS_0080,1,80,-0.1337,
DATA_0001_POS_0081,1,81,0.0366,
DATA_0001_POS_0082,1,82,0.129,
DATA_0001_POS_0083,1,83,0.1963,
DATA_0001_POS_0084,1,84,0.1374,
DATA_0001_POS_0085,1,85,0.1005,
DATA_0001_POS_0086,1,86,0.1809,
DATA_0001_POS_0087,1,87,0.1565,
DATA_0001_POS_0088,1,88,0.1366,
DATA_0001_POS_0089,1,89,0.2217,
DATA_0001_POS_0090,1,90,0.2028,
DATA_0001_POS_0091,1,91,0.1843,
DATA_0001_POS_0092,1,92,0.2575,
DATA_0001_POS_0093,1,93,0.2036,
DATA_0001_POS_0094,1,94,0.2624,
DATA_0001_POS_0095,1,95,0.1382,
DATA_0001_POS_0096,1,96,0.0865,
DATA_0001_POS_0097,1,97,0.0952,
DATA_0001_POS_0098,1,98,0.1218,
DATA_0001_POS_0099,1,99,0.0706,
DATA_0001_POS_0100,1,100,0.1472,
DATA_0001_POS_0101,1,101,0.1219,
DATA_0001_POS_0102,1,102,0.0038,
DATA_0001_POS_0103,1,103,0.0723,
DATA_0001_POS_0104,1,104,0.0857,
DATA_0001_POS_0105,1,105,0.0492,
DATA_0001_POS_0106,1,106,0.0878,
DATA_0001_POS_0107,1,107,0.0775,
DATA_0001_POS_0108,1,108,0.0384,
DATA_0001_POS_0109,1,109,0.2061,
DATA_0001_POS_0110,1,110,0.0543,
DATA_0001_POS_0111,1,111,0.4953,
DATA_0001_POS_0112,1,112,0.0569,
DATA_0001_POS_0113,1,113,0.1787,
DATA_0001_POS_0114,1,114,0.1257,
DATA_0001_POS_0115,1,115,0.0966,
DATA_0001_POS_0116,1,116,0.2115,
DATA_0001_POS_0117,1,117,0.2474,
DATA_0001_POS_0118,1,118,0.1207,
DATA_0001_POS_0119,1,119,0.2804,
DATA_0001_POS_0120,1,120,0.1528,
DATA_0001_POS_0121,1,121,0.1044,
DATA_0001_POS_0122,1,122,0.1846,
DATA_0001_POS_0123,1,123,0.3156,
DATA_0001_POS_0124,1,124,0.2045,
DATA_0001_POS_0125,1,125,0.1924,
DATA_0001_POS_0126,1,126,0.3134,
DATA_0001_POS_0127,1,127,0.2586,
DATA_0001_POS_0128,1,128,-0.4319,
DATA_0001_POS_0129,1,129,0.4762,
DATA_0001_POS_0130,1,130,-0.951,
DATA_0001_POS_0131,1,131,-0.1197,
DATA_0001_POS_0132,1,132,0.1813,
DATA_0001_POS_0133,1,133,-0.1038,
DATA_0001_POS_0134,1,134,-0.0975,
DATA_0001_POS_0135,1,135,0.2345,
DATA_0001_POS_0136,1,136,-0.5349,
DATA_0001_POS_0137,1,137,-0.1106,
DATA_0001_POS_0138,1,138,-0.006,
DATA_0001_POS_0139,1,139,0.176,
DATA_0001_POS_0140,1,140,0.013,
DATA_0001_POS_0141,1,141,0.0722,
DATA_0001_POS_0142,1,142,0.266,
DATA_0001_POS_0143,1,143,0.1122,
DATA_0001_POS_0144,1,144,1.1797,
DATA_0001_POS_0145,1,145,0.1686,
DATA_0001_POS_0146,1,146,1.2879,
DATA_0001_POS_0147,1,147,-0.0205,
DATA_0001_POS_0148,1,148,-0.4687,
DATA_0001_POS_0149,1,149,-0.0798,
DATA_0001_POS_0150,1,150,-0.0532,
DATA_0001_POS_0151,1,151,0.1447,
DATA_0001_POS_0152,1,152,0.2036,
DATA_0001_POS_0153,1,153,-0.0445,
DATA_0001_POS_0154,1,154,-0.0765,
DATA_0001_POS_0155,1,155,0.0037,
DATA_0001_POS_0156,1,156,-0.0395,
DATA_0001_POS_0157,1,157,0.1059,
DATA_0001_POS_0158,1,158,0.0663,
DATA_0001_POS_0159,1,159,0.0975,
DATA_0001_POS_0160,1,160,0.2773,
DATA_0001_POS_0161,1,161,0.2077,
DATA_0001_POS_0162,1,162,-0.3771,
DATA_0001_POS_0163,1,163,0.1375,
DATA_0001_POS_0164,1,164,0.03,
DATA_0001_POS_0165,1,165,0.0048,
DATA_0001_POS_0166,1,166,0.1957,
DATA_0001_POS_0167,1,167,0.1207,
DATA_0001_POS_0168,1,168,-0.3129,
DATA_0001_POS_0169,1,169,0.2471,
DATA_0001_POS_0170,1,170,0.0294,
DATA_0001_POS_0171,1,171,0.1777,
DATA_0001_POS_0172,1,172,0.2146,
DATA_0001_POS_0173,1,173,0.1818,
DATA_0001_POS_0174,1,174,-0.0484,
DATA_0001_POS_0175,1,175,0.1695,
DATA_0001_POS_0176,1,176,-0.0425,
DATA_0001_POS_0177,1,177,-0.7215,
DATA_0001_POS_0178,1,178,-0.237,
DATA_0001_POS_0179,1,179,-0.2979,
DATA_0001_POS_0180,1,180,-0.6195,
DATA_0001_POS_0181,1,181,0.0097,
DATA_0001_POS_0182,1,182,0.0194,
DATA_0001_POS_0183,1,183,0.276,
DATA_0001_POS_0184,1,184,-0.3113,
DATA_0001_POS_0185,1,185,-0.0716,
DATA_0001_POS_0186,1,186,-0.1526,
DATA_0001_POS_0187,1,187,-0.0946,
DATA_0001_POS_0188,1,188,0.1055,
DATA_0001_POS_0189,1,189,0.0408,
DATA_0001_POS_0190,1,190,0.1439,
DATA_0001_POS_0191,1,191,0.2191,
DATA_0002_POS_0000,2,0,0.0121,
DATA_0002_POS_0001,2,1,0.0293,
DATA_0002_POS_0002,2,2,-0.0217,
DATA_0002_POS_0003,2,3,0.0825,
DATA_0002_POS_0004,2,4,-0.1299,
DATA_0002_POS_0005,2,5,-0.5867,
DATA_0002_POS_0006,2,6,0.0459,
DATA_0002_POS_0007,2,7,-0.6302,
DATA_0002_POS_0008,2,8,0.0109,
DATA_0002_POS_0009,2,9,0.0377,
DATA_0002_POS_0010,2,10,-0.0651,
DATA_0002_POS_0011,2,11,-0.3177,
DATA_0002_POS_0012,2,12,-0.3288,
DATA_0002_POS_0013,2,13,-0.5277,
DATA_0002_POS_0014,2,14,-1.9585,
DATA_0002_POS_0015,2,15,-0.6898,
DATA_0002_POS_0016,2,16,0.1913,
DATA_0002_POS_0017,2,17,0.2999,
DATA_0002_POS_0018,2,18,0.2982,
DATA_0002_POS_0019,2,19,0.2808,
DATA_0002_POS_0020,2,20,-0.1834,
DATA_0002_POS_0021,2,21,0.024,
DATA_0002_POS_0022,2,22,-0.1329,
DATA_0002_POS_0023,2,23,0.5279,
DATA_0002_POS_0024,2,24,0.3351,
DATA_0002_POS_0025,2,25,0.3164,
DATA_0002_POS_0026,2,26,0.0724,
DATA_0002_POS_0027,2,27,-0.6379,
DATA_0002_POS_0028,2,28,0.0251,
DATA_0002_POS_0029,2,29,0.8717,
DATA_0002_POS_0030,2,30,-0.5023,
DATA_0002_POS_0031,2,31,0.1261,
DATA_0002_POS_0032,2,32,0.0424,
DATA_0002_POS_0033,2,33,-0.1015,
DATA_0002_POS_0034,2,34,-0.019,
DATA_0002_POS_0035,2,35,-0.0599,
DATA_0002_POS_0036,2,36,-0.0447,
DATA_0002_POS_0037,2,37,-0.0413,
DATA_0002_POS_0038,2,38,0.2372,
DATA_0002_POS_0039,2,39,0.5277,
DATA_0002_POS_0040,2,40,-0.0379,
DATA_0002_POS_0041,2,41,0.1023,
DATA_0002_POS_0042,2,42,0.1056,
DATA_0002_POS_0043,2,43,0.32,
DATA_0002_POS_0044,2,44,0.0524,
DATA_0002_POS_0045,2,45,0.2064,
DATA_0002_POS_0046,2,46,0.1258,
DATA_0002_POS_0047,2,47,-0.2474,
DATA_0002_POS_0048,2,48,0.2237,
DATA_0002_POS_0049,2,49,-0.0723,
DATA_0002_POS_0050,2,50,-0.163,
DATA_0002_POS_0051,2,51,-0.1761,
DATA_0002_POS_0052,2,52,-0.0733,
DATA_0002_POS_0053,2,53,0.2424,
DATA_0002_POS_0054,2,54,0.0641,
DATA_0002_POS_0055,2,55,0.07,
DATA_0002_POS_0056,2,56,-0.2509,
DATA_0002_POS_0057,2,57,-0.3432,
DATA_0002_POS_0058,2,58,-0.2347,
DATA_0002_POS_0059,2,59,0.0617,
DATA_0002_POS_0060,2,60,-0.4506,
DATA_0002_POS_0061,2,61,-0.8373,
DATA_0002_POS_0062,2,62,0.1095,
DATA_0002_POS_0063,2,63,-0.6907,
DATA_0002_POS_0064,2,64,-0.0401,
DATA_0002_POS_0065,2,65,0.0371,
DATA_0002_POS_0066,2,66,0.0125,
DATA_0002_POS_0067,2,67,0.1305,
DATA_0002_POS_0068,2,68,0.1117,
DATA_0002_POS_0069,2,69,0.0205,
DATA_0002_POS_0070,2,70,0.0969,
DATA_0002_POS_0071,2,71,-0.0442,
DATA_0002_POS_0072,2,72,0.0665,
DATA_0002_POS_0073,2,73,0.0854,
DATA_0002_POS_0074,2,74,0.2197,
DATA_0002_POS_0075,2,75,0.1501,
DATA_0002_POS_0076,2,76,0.1631,
DATA_0002_POS_0077,2,77,-0.0352,
DATA_0002_POS_0078,2,78,-0.1662,
DATA_0002_POS_0079,2,79,-0.1206,
DATA_0002_POS_0080,2,80,0.1101,
DATA_0002_POS_0081,2,81,0.1871,
DATA_0002_POS_0082,2,82,0.2126,
DATA_0002_POS_0083,2,83,0.2799,
DATA_0002_POS_0084,2,84,0.2501,
DATA_0002_POS_0085,2,85,0.2482,
DATA_0002_POS_0086,2,86,0.2017,
DATA_0002_POS_0087,2,87,0.1206,
DATA_0002_POS_0088,2,88,0.0362,
DATA_0002_POS_0089,2,89,0.1062,
DATA_0002_POS_0090,2,90,0.0677,
DATA_0002_POS_0091,2,91,0.0446,
DATA_0002_POS_0092,2,92,0.0743,
DATA_0002_POS_0093,2,93,0.0728,
DATA_0002_POS_0094,2,94,-0.0795,
DATA_0002_POS_0095,2,95,-0.0899,
DATA_0002_POS_0096,2,96,0.0333,
DATA_0002_POS_0097,2,97,0.0073,
DATA_0002_POS_0098,2,98,-0.1543,
DATA_0002_POS_0099,2,99,0.0167,
DATA_0002_POS_0100,2,100,0.0069,
DATA_0002_POS_0101,2,101,0.0564,
DATA_0002_POS_0102,2,102,0.1132,
DATA_0002_POS_0103,2,103,0.0866,
DATA_0002_POS_0104,2,104,0.1308,
DATA_0002_POS_0105,2,105,0.2315,
DATA_0002_POS_0106,2,106,0.2562,
DATA_0002_POS_0107,2,107,0.1887,
DATA_0002_POS_0108,2,108,0.165,
DATA_0002_POS_0109,2,109,-0.0476,
DATA_0002_POS_0110,2,110,0.043,
DATA_0002_POS_0111,2,111,-0.0381,
DATA_0002_POS_0112,2,112,0.2158,
DATA_0002_POS_0113,2,113,0.157,
DATA_0002_POS_0114,2,114,0.2364,
DATA_0002_POS_0115,2,115,0.1568,
DATA_0002_POS_0116,2,116,0.1395,
DATA_0002_POS_0117,2,117,0.0764,
DATA_0002_POS_0118,2,118,0.1238,
DATA_0002_POS_0119,2,119,0.0508,
DATA_0002_POS_0120,2,120,-0.0016,
DATA_0002_POS_0121,2,121,0.0689,
DATA_0002_POS_0122,2,122,0.0183,
DATA_0002_POS_0123,2,123,-0.0112,
DATA_0002_POS_0124,2,124,0.0547,
DATA_0002_POS_0125,2,125,0.2633,
DATA_0002_POS_0126,2,126,-0.1129,
DATA_0002_POS_0127,2,127,-0.2329,
DATA_0002_POS_0128,2,128,-0.362,
DATA_0002_POS_0129,2,129,-0.5364,
DATA_0002_POS_0130,2,130,-0.1476,
DATA_0002_POS_0131,2,131,0.0411,
DATA_0002_POS_0132,2,132,0.0614,
DATA_0002_POS_0133,2,133,0.0965,
DATA_0002_POS_0134,2,134,0.026,
DATA_0002_POS_0135,2,135,0.1254,
DATA_0002_POS_0136,2,136,-0.1346,
DATA_0002_POS_0137,2,137,0.1479,
DATA_0002_POS_0138,2,138,0.0271,
DATA_0002_POS_0139,2,139,0.1747,
DATA_0002_POS_0140,2,140,0.3209,
DATA_0002_POS_0141,2,141,0.0652,
DATA_0002_POS_0142,2,142,0.0908,
DATA_0002_POS_0143,2,143,-0.0778,
DATA_0002_POS_0144,2,144,-0.2872,
DATA_0002_POS_0145,2,145,-0.052,
DATA_0002_POS_0146,2,146,-0.4862,
DATA_0002_POS_0147,2,147,0.2898,
DATA_0002_POS_0148,2,148,0.2498,
DATA_0002_POS_0149,2,149,0.128,
DATA_0002_POS_0150,2,150,0.2538,
DATA_0002_POS_0151,2,151,-0.0284,
DATA_0002_POS_0152,2,152,0.0369,
DATA_0002_POS_0153,2,153,0.1719,
DATA_0002_POS_0154,2,154,0.0856,
DATA_0002_POS_0155,2,155,0.0565,
DATA_0002_POS_0156,2,156,-0.054,
DATA_0002_POS_0157,2,157,-0.061,
DATA_0002_POS_0158,2,158,0.1372,
DATA_0002_POS_0159,2,159,0.2177,
DATA_0002_POS_0160,2,160,-0.0895,
DATA_0002_POS_0161,2,161,-0.1608,
DATA_0002_POS_0162,2,162,-0.1496,
DATA_0002_POS_0163,2,163,0.1574,
DATA_0002_POS_0164,2,164,0.1866,
DATA_0002_POS_0165,2,165,0.1796,
DATA_0002_POS_0166,2,166,0.1497,
DATA_0002_POS_0167,2,167,0.1562,
DATA_0002_POS_0168,2,168,0.1232,
DATA_0002_POS_0169,2,169,0.0824,
DATA_0002_POS_0170,2,170,-0.0047,
DATA_0002_POS_0171,2,171,0.041,
DATA_0002_POS_0172,2,172,0.2718,
DATA_0002_POS_0173,2,173,-0.0043,
DATA_0002_POS_0174,2,174,0.0873,
DATA_0002_POS_0175,2,175,-0.013,
DATA_0002_POS_0176,2,176,-0.346,
DATA_0002_POS_0177,2,177,-0.187,
DATA_0002_POS_0178,2,178,-0.089,
DATA_0002_POS_0179,2,179,0.0674,
DATA_0002_POS_0180,2,180,-0.1012,
DATA_0002_POS_0181,2,181,-0.0761,
DATA_0002_POS_0182,2,182,0.0621,
DATA_0002_POS_0183,2,183,-0.0504,
DATA_0002_POS_0184,2,184,0.2032,
DATA_0002_POS_0185,2,185,0.2082,
DATA_0002_POS_0186,2,186,0.2212,
DATA_0002_POS_0187,2,187,0.3144,
DATA_0002_POS_0188,2,188,0.2321,
DATA_0002_POS_0189,2,189,0.052,
DATA_0002_POS_0190,2,190,0.1581,
DATA_0002_POS_0191,2,191,0.0367,
DATA_0003_POS_0000,3,0,-0.0199,
DATA_0003_POS_0001,3,1,-0.0858,
DATA_0003_POS_0002,3,2,-0.0214,
DATA_0003_POS_0003,3,3,-0.0309,
DATA_0003_POS_0004,3,4,0.0213,
DATA_0003_POS_0005,3,5,0.044,
DATA_0003_POS_0006,3,6,-0.0261,
DATA_0003_POS_0007,3,7,0.0781,
DATA_0003_POS_0008,3,8,-0.0021,
DATA_0003_POS_0009,3,9,0.1169,
DATA_0003_POS_0010,3,10,-0.0558,
DATA_0003_POS_0011,3,11,-0.2535,
DATA_0003_POS_0012,3,12,-0.0318,
DATA_0003_POS_0013,3,13,-0.2793,
DATA_0003_POS_0014,3,14,-0.0787,
DATA_0003_POS_0015,3,15,-0.0588,
DATA_0003_POS_0016,3,16,0.0297,
DATA_0003_POS_0017,3,17,0.207,
DATA_0003_POS_0018,3,18,0.069,
DATA_0003_POS_0019,3,19,0.4079,
DATA_0003_POS_0020,3,20,0.1096,
DATA_0003_POS_0021,3,21,-0.1952,
DATA_0003_POS_0022,3,22,0.1098,
DATA_0003_POS_0023,3,23,0.1178,
DATA_0003_POS_0024,3,24,0.2117,
DATA_0003_POS_0025,3,25,0.3431,
